"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"ICC4841",0,3,3,4,4,4,4,1,2,2,3,4,0,0,0,0,0,0,0,2,2,2,2,4,1,2,0,0
"ICC4853",2,3,3,0,4,4,4,1,2,2,3,4,2,1,0,0,0,0,1,1,0,1,2,4,1,2,2,4
"ICC4872",2,3,3,2,2,4,4,1,2,2,3,4,4,0,0,0,0,0,0,0,0,0,2,0,1,2,2,4
"ICC5879",2,3,3,4,4,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,2,2
"ICC6294",4,3,3,4,2,4,4,1,2,2,3,4,0,1,0,0,2,1,1,2,2,2,2,4,1,2,0,0
"ICC6811",0,3,3,4,4,4,4,1,2,2,3,4,2,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC7150",4,3,3,2,4,4,4,1,2,2,3,4,2,1,0,0,0,0,0,2,2,2,2,4,1,2,0,0
"ICC7184",4,3,3,2,0,4,2,0,4,0,3,0,2,3,0,3,4,3,3,1,2,0,0,0,0,0,0,2
"ICC7255",0,3,1,2,4,4,4,1,2,2,3,4,4,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC7272",4,3,3,4,4,4,2,0,4,0,0,0,2,3,3,3,4,3,3,2,0,0,2,4,0,0,0,2
"ICC7315",0,3,3,2,4,4,4,1,2,2,3,4,4,1,0,0,0,0,0,2,2,2,2,4,1,2,2,2
"ICC7571",2,3,3,0,4,4,4,1,2,2,3,4,4,0,0,0,0,0,1,2,2,2,2,4,1,2,2,2
"ICC7668",2,3,3,4,4,4,4,1,2,2,3,4,4,1,0,0,0,0,0,0,2,0,2,4,1,2,2,4
"ICC8058",4,3,3,2,4,2,2,3,4,3,1,1,2,3,0,3,4,3,3,0,0,0,4,3,3,4,3,2
"ICC8151",4,3,3,4,4,4,4,1,2,2,3,4,0,0,0,0,0,0,0,0,0,0,2,4,1,2,0,0
"ICC8261",4,3,3,0,2,4,4,1,2,2,3,4,4,0,0,0,0,0,1,2,2,2,2,4,1,2,0,0
"ICC8350",0,3,3,0,0,4,2,0,0,0,0,0,2,3,3,3,4,3,3,2,2,1,0,0,0,0,0,2
"ICC8515",4,3,3,4,4,4,4,1,2,2,3,4,0,0,0,0,0,0,0,0,2,2,2,4,1,0,0,0
"ICC8522",0,3,3,4,4,4,4,1,2,2,3,4,0,1,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC8607",2,3,3,4,4,4,2,1,2,0,3,4,0,0,0,0,0,0,0,1,2,2,2,4,1,2,0,0
"ICC9137",2,3,3,4,4,4,2,1,0,2,3,4,0,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC9402",4,3,3,0,4,4,2,0,2,2,3,4,0,0,0,0,2,1,1,2,2,2,2,4,1,2,0,0
"ICC9590",4,3,3,2,4,4,4,1,2,2,3,4,4,0,0,0,0,0,0,0,2,0,2,4,1,2,0,2
"ICC9643",0,3,3,4,4,4,4,1,2,2,3,4,2,0,0,0,4,3,3,0,0,0,2,4,0,4,3,2
"ICC9872",0,3,3,4,4,4,2,3,4,3,1,1,2,3,0,1,4,3,3,2,4,1,4,3,3,4,3,2
"ICC9895",4,3,3,0,2,4,2,3,4,3,1,1,4,1,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICCC32",4,3,3,4,4,4,0,0,2,0,0,0,2,0,2,1,2,3,3,2,0,0,2,4,0,2,3,2
"ICCC37",0,3,3,2,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,2,1,4,3,3,4,3,2
"ICCV00108",4,3,3,2,0,4,2,1,2,3,1,1,0,0,2,1,4,3,3,2,4,1,4,3,3,4,3,2
"ICCV89509",4,3,3,4,4,4,4,1,2,2,3,4,0,0,0,0,2,1,1,2,2,2,2,4,1,2,0,2
"ICCV92006",2,3,3,4,4,2,2,3,4,3,1,1,4,0,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICCV92311",4,3,3,4,0,4,4,1,2,2,3,4,2,0,0,0,2,1,1,2,2,2,2,4,1,2,2,4
"ICCV92318",4,3,3,4,4,4,4,1,2,2,3,4,2,1,0,0,2,1,1,2,2,2,2,4,1,2,2,4
"ICCV92337",4,3,1,4,4,4,4,1,2,2,3,4,0,0,0,0,0,1,1,0,2,0,2,4,0,0,0,0
"ICCV92944",4,3,3,4,4,4,4,1,2,2,3,4,2,1,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICCV93952",4,3,3,4,4,4,2,3,4,3,0,1,2,3,3,3,4,3,3,2,4,1,2,0,3,4,3,2
"ICCV94954",4,3,3,4,2,4,2,3,4,3,1,1,0,1,3,3,2,3,3,2,4,1,4,3,3,4,3,2
"ICCV95311",4,3,3,4,4,4,4,1,2,2,3,4,2,0,0,0,0,0,1,2,2,2,2,4,1,2,2,4
"ICCV95332",4,3,3,4,4,4,4,1,2,2,3,4,4,0,0,0,0,0,0,1,2,0,2,4,1,2,2,2
"ICCV95334",4,3,3,4,0,4,4,1,2,2,3,4,4,0,0,0,2,1,1,2,2,2,2,4,1,2,0,2
"ICCV95423",4,3,3,4,4,4,4,1,2,2,3,4,0,1,0,0,0,0,0,0,0,2,2,4,1,2,2,2
"ICCV96329",0,3,3,0,2,4,4,1,2,2,3,4,4,0,0,0,0,0,0,0,2,2,2,4,1,2,2,2
"ILC3279",4,3,3,4,4,4,2,0,4,0,1,0,0,3,3,3,4,0,0,2,4,1,0,0,1,2,0,2
"IPCK2002-29",4,3,3,0,4,4,4,1,2,2,3,4,4,0,0,0,0,0,0,0,0,0,2,4,1,2,2,4
"JGG1",2,3,3,2,4,4,2,3,4,3,1,1,2,3,2,0,2,3,3,2,4,1,4,3,3,4,3,2
"L551",4,3,3,4,2,4,4,1,2,2,0,4,2,1,0,0,0,0,0,0,0,0,2,4,1,2,0,2
"PBG1",2,3,3,0,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,2,3,3,4,3,2
"PBG5",4,3,3,2,4,4,4,1,2,2,3,4,0,0,0,1,2,0,1,2,2,2,2,4,1,2,2,4
"PDG3",0,3,0,4,4,4,2,3,4,3,1,1,2,3,3,3,4,1,0,2,2,1,4,3,3,4,3,2
"Phule_G0027",4,3,1,0,4,4,2,1,2,2,3,4,2,0,0,0,0,0,0,0,2,2,2,4,1,2,0,0
"Pistol",4,3,3,4,4,0,2,3,4,3,1,1,2,3,3,3,2,3,3,2,4,1,4,3,3,4,3,2
"PKV_Harita",4,3,3,4,4,4,4,1,2,2,3,4,0,0,0,0,2,1,1,2,2,2,2,4,1,2,2,4
"Pusa1088",4,3,3,4,2,4,4,1,2,2,1,4,0,0,0,0,0,0,0,0,0,0,2,4,1,2,0,0
"Pusa261",4,3,3,4,4,4,4,1,2,2,3,4,4,0,0,0,0,0,0,0,0,0,2,4,1,2,2,2
"Pusa267",2,3,3,2,0,4,4,1,2,2,3,4,2,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"Yezin3",4,3,3,4,4,4,4,1,2,2,3,4,2,1,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"CDCLuna",4,0,0,4,0,4,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,4,3,4,3,2
"GL769",2,0,0,2,0,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,2,4,1,4,3,2
"ICC13628",2,0,0,0,0,4,4,1,2,2,3,4,0,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC3230",2,0,1,2,4,2,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICC7413",2,0,0,2,0,4,4,1,2,2,3,4,0,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC8521",0,0,0,2,2,4,4,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0
"ICC9636",0,0,0,0,2,4,2,3,0,2,1,1,2,3,0,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICC9702",2,0,0,2,2,2,2,3,4,3,1,1,2,3,3,3,2,3,3,2,4,1,2,0,3,4,3,2
"ICC20183",2,0,3,2,4,2,4,1,2,2,0,0,2,3,3,3,4,3,3,2,2,2,4,3,0,0,3,2
